total customers served 3000
Average Wait time with 8 regular lanes and 4 express lanes is 39.69

Customer 0 Arrival: 433.35, End Shopping: 438.71, Wait Time: 2.76, End Checkout: 442.87
Customer 1 Arrival: 89.58, End Shopping: 92.98, Wait Time: 0.0, End Checkout: 94.48
Customer 2 Arrival: 497.81, End Shopping: 512.21, Wait Time: -0.0, End Checkout: 514.41
Customer 3 Arrival: 131.03, End Shopping: 145.66, Wait Time: 18.9, End Checkout: 167.51
Customer 4 Arrival: 221.3, End Shopping: 236.1, Wait Time: 39.24, End Checkout: 278.34
Customer 5 Arrival: 401.29, End Shopping: 411.49, Wait Time: 76.84, End Checkout: 491.08
Customer 6 Arrival: 191.47, End Shopping: 218.56, Wait Time: 31.02, End Checkout: 252.63
Customer 7 Arrival: 40.72, End Shopping: 128.92, Wait Time: 14.25, End Checkout: 148.17
Customer 8 Arrival: 477.84, End Shopping: 506.64, Wait Time: 90.39, End Checkout: 600.23
Customer 9 Arrival: 416.96, End Shopping: 433.78, Wait Time: 77.93, End Checkout: 515.16
Customer 10 Arrival: 181.29, End Shopping: 206.49, Wait Time: 28.44, End Checkout: 237.98
Customer 11 Arrival: 383.39, End Shopping: 388.31, Wait Time: 0.0, End Checkout: 389.91
Customer 12 Arrival: 348.81, End Shopping: 361.13, Wait Time: 60.02, End Checkout: 423.85
Customer 13 Arrival: 564.08, End Shopping: 583.46, Wait Time: 95.08, End Checkout: 682.44
Customer 14 Arrival: 482.55, End Shopping: 509.15, Wait Time: 91.1, End Checkout: 604.0
Customer 15 Arrival: 531.82, End Shopping: 605.18, Wait Time: 102.11, End Checkout: 712.09
Customer 16 Arrival: 23.11, End Shopping: 36.2, Wait Time: 0.82, End Checkout: 39.12
Customer 17 Arrival: 28.33, End Shopping: 43.59, Wait Time: 3.03, End Checkout: 49.32
Customer 18 Arrival: 55.42, End Shopping: 79.22, Wait Time: 7.32, End Checkout: 89.54
Customer 19 Arrival: 564.06, End Shopping: 605.2, Wait Time: 102.15, End Checkout: 711.05
Customer 20 Arrival: 221.75, End Shopping: 231.65, Wait Time: -0.0, End Checkout: 233.75
Customer 21 Arrival: 379.18, End Shopping: 385.01, Wait Time: 0.38, End Checkout: 387.49
Customer 22 Arrival: 511.3, End Shopping: 513.84, Wait Time: 0.57, End Checkout: 515.61
Customer 23 Arrival: 244.58, End Shopping: 300.38, Wait Time: 51.39, End Checkout: 356.77
Customer 24 Arrival: 681.35, End Shopping: 693.65, Wait Time: 0.0, End Checkout: 695.65
Customer 25 Arrival: 42.39, End Shopping: 48.45, Wait Time: -0.0, End Checkout: 50.05
Customer 26 Arrival: 514.1, End Shopping: 540.14, Wait Time: 85.25, End Checkout: 629.49
Customer 27 Arrival: 213.55, End Shopping: 274.57, Wait Time: 49.18, End Checkout: 328.45
Customer 28 Arrival: 281.03, End Shopping: 318.44, Wait Time: 54.71, End Checkout: 377.3
Customer 29 Arrival: 256.47, End Shopping: 268.17, Wait Time: 0.0, End Checkout: 270.17
Customer 30 Arrival: 69.55, End Shopping: 126.13, Wait Time: 16.46, End Checkout: 146.89
Customer 31 Arrival: 255.86, End Shopping: 264.68, Wait Time: -0.0, End Checkout: 266.58
Customer 32 Arrival: 641.97, End Shopping: 647.49, Wait Time: -0.0, End Checkout: 649.29
Customer 33 Arrival: 377.61, End Shopping: 399.0, Wait Time: 73.96, End Checkout: 476.11
Customer 34 Arrival: 215.92, End Shopping: 289.24, Wait Time: 49.51, End Checkout: 343.35
Customer 35 Arrival: 320.91, End Shopping: 326.35, Wait Time: 0.21, End Checkout: 327.96
Customer 36 Arrival: 175.04, End Shopping: 176.5, Wait Time: -0.0, End Checkout: 177.6
Customer 37 Arrival: 216.8, End Shopping: 234.18, Wait Time: 38.95, End Checkout: 276.23
Customer 38 Arrival: 218.97, End Shopping: 274.26, Wait Time: 50.31, End Checkout: 329.42
Customer 39 Arrival: 283.8, End Shopping: 286.55, Wait Time: 0.92, End Checkout: 288.97
Customer 40 Arrival: 263.54, End Shopping: 270.1, Wait Time: -0.0, End Checkout: 271.9
Customer 41 Arrival: 252.01, End Shopping: 259.12, Wait Time: -0.0, End Checkout: 261.02
Customer 42 Arrival: 606.24, End Shopping: 610.59, Wait Time: 1.97, End Checkout: 614.06
Customer 43 Arrival: 670.44, End Shopping: 677.01, Wait Time: -0.0, End Checkout: 678.91
Customer 44 Arrival: 330.33, End Shopping: 365.52, Wait Time: 63.96, End Checkout: 434.03
Customer 45 Arrival: 154.92, End Shopping: 167.97, Wait Time: 0.64, End Checkout: 170.51
Customer 46 Arrival: 190.08, End Shopping: 229.35, Wait Time: 37.82, End Checkout: 271.72
Customer 47 Arrival: 642.1, End Shopping: 644.38, Wait Time: 0.0, End Checkout: 645.58
Customer 48 Arrival: 539.14, End Shopping: 557.86, Wait Time: 100.39, End Checkout: 661.45
Customer 49 Arrival: 436.83, End Shopping: 449.31, Wait Time: 75.55, End Checkout: 528.06
Customer 50 Arrival: 110.42, End Shopping: 126.22, Wait Time: 14.01, End Checkout: 143.23
Customer 51 Arrival: 532.85, End Shopping: 552.46, Wait Time: 93.12, End Checkout: 649.43
Customer 52 Arrival: 287.47, End Shopping: 351.6, Wait Time: 53.7, End Checkout: 409.95
Customer 53 Arrival: 163.43, End Shopping: 211.83, Wait Time: 31.38, End Checkout: 247.21
Customer 54 Arrival: 7.1, End Shopping: 34.1, Wait Time: -0.0, End Checkout: 37.9
Customer 55 Arrival: 287.81, End Shopping: 295.72, Wait Time: -0.0, End Checkout: 297.42
Customer 56 Arrival: 144.43, End Shopping: 155.23, Wait Time: 0.0, End Checkout: 157.23
Customer 57 Arrival: 197.95, End Shopping: 201.9, Wait Time: 0.0, End Checkout: 203.4
Customer 58 Arrival: 500.33, End Shopping: 520.04, Wait Time: 89.19, End Checkout: 612.58
Customer 59 Arrival: 623.7, End Shopping: 628.94, Wait Time: 1.97, End Checkout: 632.31
Customer 60 Arrival: 23.0, End Shopping: 36.75, Wait Time: 0.0, End Checkout: 38.85
Customer 61 Arrival: 296.7, End Shopping: 315.88, Wait Time: 53.19, End Checkout: 371.77
Customer 62 Arrival: 10.13, End Shopping: 12.89, Wait Time: -0.0, End Checkout: 14.19
Customer 63 Arrival: 656.92, End Shopping: 665.08, Wait Time: -0.0, End Checkout: 667.28
Customer 64 Arrival: 660.88, End Shopping: 664.2, Wait Time: -0.0, End Checkout: 665.6
Customer 65 Arrival: 153.05, End Shopping: 184.13, Wait Time: 26.95, End Checkout: 214.93
Customer 66 Arrival: 5.13, End Shopping: 24.09, Wait Time: -0.0, End Checkout: 27.29
Customer 67 Arrival: 578.78, End Shopping: 586.34, Wait Time: 102.13, End Checkout: 691.17
Customer 68 Arrival: 301.64, End Shopping: 312.52, Wait Time: 0.0, End Checkout: 314.32
Customer 69 Arrival: 223.23, End Shopping: 244.65, Wait Time: 44.9, End Checkout: 292.6
Customer 70 Arrival: 587.37, End Shopping: 654.97, Wait Time: 115.02, End Checkout: 774.59
Customer 71 Arrival: 582.87, End Shopping: 593.4, Wait Time: -0.0, End Checkout: 595.3
Customer 72 Arrival: 332.08, End Shopping: 347.08, Wait Time: 63.52, End Checkout: 413.6
Customer 73 Arrival: 56.52, End Shopping: 58.5, Wait Time: 0.0, End Checkout: 59.7
Customer 74 Arrival: 146.86, End Shopping: 192.45, Wait Time: 22.7, End Checkout: 219.5
Customer 75 Arrival: 522.81, End Shopping: 567.96, Wait Time: 97.99, End Checkout: 669.7
Customer 76 Arrival: 583.31, End Shopping: 610.15, Wait Time: 104.11, End Checkout: 717.36
Customer 77 Arrival: 355.48, End Shopping: 380.12, Wait Time: 63.98, End Checkout: 447.2
Customer 78 Arrival: 132.46, End Shopping: 157.4, Wait Time: 23.89, End Checkout: 185.44
Customer 79 Arrival: 595.91, End Shopping: 619.91, Wait Time: 109.39, End Checkout: 733.7
Customer 80 Arrival: 341.44, End Shopping: 347.08, Wait Time: 0.0, End Checkout: 348.68
Customer 81 Arrival: 684.94, End Shopping: 688.06, Wait Time: 0.0, End Checkout: 689.66
Customer 82 Arrival: 247.84, End Shopping: 256.97, Wait Time: -0.0, End Checkout: 259.07
Customer 83 Arrival: 53.56, End Shopping: 101.97, Wait Time: 4.2, End Checkout: 110.52
Customer 84 Arrival: 302.59, End Shopping: 303.74, Wait Time: -0.0, End Checkout: 304.84
Customer 85 Arrival: 682.05, End Shopping: 685.77, Wait Time: 0.0, End Checkout: 687.07
Customer 86 Arrival: 603.9, End Shopping: 615.9, Wait Time: 105.17, End Checkout: 723.87
Customer 87 Arrival: 61.36, End Shopping: 69.46, Wait Time: 1.65, End Checkout: 72.71
Customer 88 Arrival: 229.52, End Shopping: 245.9, Wait Time: 39.28, End Checkout: 288.48
Customer 89 Arrival: 562.1, End Shopping: 571.06, Wait Time: 94.02, End Checkout: 667.78
Customer 90 Arrival: 438.35, End Shopping: 446.87, Wait Time: 0.85, End Checkout: 449.32
Customer 91 Arrival: 132.12, End Shopping: 168.46, Wait Time: 20.53, End Checkout: 193.29
Customer 92 Arrival: 401.49, End Shopping: 413.73, Wait Time: 82.87, End Checkout: 499.8
Customer 93 Arrival: 128.94, End Shopping: 174.53, Wait Time: 22.98, End Checkout: 201.86
Customer 94 Arrival: 29.05, End Shopping: 33.85, Wait Time: -0.0, End Checkout: 35.25
Customer 95 Arrival: 277.48, End Shopping: 323.3, Wait Time: 53.9, End Checkout: 382.1
Customer 96 Arrival: 328.77, End Shopping: 343.27, Wait Time: 0.0, End Checkout: 345.27
Customer 97 Arrival: 8.75, End Shopping: 16.35, Wait Time: 0.0, End Checkout: 18.35
Customer 98 Arrival: 69.53, End Shopping: 103.78, Wait Time: 3.84, End Checkout: 110.87
Customer 99 Arrival: 97.33, End Shopping: 123.89, Wait Time: 11.92, End Checkout: 139.41
Customer 100 Arrival: 354.33, End Shopping: 358.18, Wait Time: -0.0, End Checkout: 359.88
Customer 101 Arrival: 208.09, End Shopping: 248.89, Wait Time: 43.67, End Checkout: 297.56
Customer 102 Arrival: 398.1, End Shopping: 408.15, Wait Time: 75.75, End Checkout: 486.65
Customer 103 Arrival: 231.02, End Shopping: 260.72, Wait Time: 44.06, End Checkout: 309.48
Customer 104 Arrival: 374.6, End Shopping: 408.6, Wait Time: 76.6, End Checkout: 489.7
Customer 105 Arrival: 426.18, End Shopping: 433.5, Wait Time: 0.9, End Checkout: 436.0
Customer 106 Arrival: 144.29, End Shopping: 219.22, Wait Time: 42.78, End Checkout: 266.95
Customer 107 Arrival: 514.41, End Shopping: 522.51, Wait Time: 88.58, End Checkout: 613.84
Customer 108 Arrival: 9.34, End Shopping: 19.6, Wait Time: -0.0, End Checkout: 21.5
Customer 109 Arrival: 553.33, End Shopping: 601.81, Wait Time: 103.11, End Checkout: 709.32
Customer 110 Arrival: 148.38, End Shopping: 174.18, Wait Time: 19.13, End Checkout: 197.46
Customer 111 Arrival: 614.0, End Shopping: 633.65, Wait Time: 107.64, End Checkout: 744.04
Customer 112 Arrival: 425.59, End Shopping: 430.69, Wait Time: 0.0, End Checkout: 432.69
Customer 113 Arrival: 569.64, End Shopping: 583.39, Wait Time: 0.0, End Checkout: 585.49
Customer 114 Arrival: 114.49, End Shopping: 121.96, Wait Time: 0.82, End Checkout: 124.68
Customer 115 Arrival: 154.93, End Shopping: 163.57, Wait Time: 1.1, End Checkout: 166.87
Customer 116 Arrival: 156.42, End Shopping: 206.88, Wait Time: 31.11, End Checkout: 242.89
Customer 117 Arrival: 246.67, End Shopping: 274.27, Wait Time: 46.61, End Checkout: 324.03
Customer 118 Arrival: 49.76, End Shopping: 65.36, Wait Time: 0.0, End Checkout: 68.36
Customer 119 Arrival: 518.7, End Shopping: 559.59, Wait Time: 100.4, End Checkout: 663.44
Customer 120 Arrival: 508.59, End Shopping: 511.71, Wait Time: -0.0, End Checkout: 513.31
Customer 121 Arrival: 242.07, End Shopping: 257.44, Wait Time: 44.92, End Checkout: 305.81
Customer 122 Arrival: 152.13, End Shopping: 175.33, Wait Time: 18.73, End Checkout: 198.06
Customer 123 Arrival: 598.69, End Shopping: 618.49, Wait Time: 109.84, End Checkout: 731.23
Customer 124 Arrival: 325.52, End Shopping: 331.52, Wait Time: 0.0, End Checkout: 333.02
